index,start_expression,halide_result,halide_time
1110,( + ( / ( + v0 1 ) 2 ) v1 ),( + ( / ( + v0 1 ) 2 ) v1 ),3
1111,( && ( && ( && ( && ( && 1 ( && ( != v0 v1 ) ( == v0 v1 ) ) ) ( && ( != v0 v1 ) ( == v2 v3 ) ) ) ( && ( != v0 v1 ) ( == v4 v5 ) ) ) 1 ) 1 ),0,26
1112,( min ( / ( - ( + ( min v0 26 ) v1 ) 26 ) 8 ) ( + 0 ( / ( - ( + ( min v0 50 ) v1 ) 50 ) 8 ) ) ),( / ( - ( + ( min v0 50 ) v1 ) 50 ) 8 ),28
1113,( - ( * ( min ( - v0 15 ) v1 ) 2 ) 1 ),( - ( * ( min ( - v0 15 ) v1 ) 2 ) 1 ),4
1114,( / ( - v0 1 ) 64 ),( / ( - v0 1 ) 64 ),18
1115,( + ( - ( max ( max ( / ( + ( + v0 v1 ) 30 ) 32 ) ( + ( * v2 2 ) 2 ) ) v3 ) ( min ( min ( / v1 32 ) ( - ( * v4 2 ) 1 ) ) v5 ) ) 1 ),( + ( - ( max ( max ( / ( + ( + v0 v1 ) 30 ) 32 ) ( + ( * v2 2 ) 2 ) ) v3 ) ( min ( min ( / v1 32 ) ( - ( * v4 2 ) 1 ) ) v5 ) ) 1 ),9
1116,( max ( + ( * ( max ( min ( + ( + ( * ( / ( - v0 v1 ) 8 ) 8 ) v1 ) 7 ) v0 ) ( min ( + ( + ( * ( / ( - v2 v3 ) 8 ) 8 ) v3 ) 7 ) v2 ) ) 2 ) 2 ) ( + ( * ( + 7 ( min ( + ( * ( / ( - v0 v1 ) 8 ) 8 ) v1 ) ( - v0 7 ) ) ) 2 ) 1 ) ),( + ( max ( * ( min ( + ( + ( * ( / ( - v0 v1 ) 8 ) 8 ) v1 ) 7 ) v0 ) 2 ) ( + ( * ( max ( min ( + ( + ( * ( / ( - v0 v1 ) 8 ) 8 ) v1 ) 7 ) v0 ) ( min ( + ( + ( * ( / ( - v2 v3 ) 8 ) 8 ) v3 ) 7 ) v2 ) ) 2 ) 1 ) ) 1 ),21
1117,( / ( / v0 2 ) 2 ),( / v0 4 ),5
1118,( - ( * ( max ( min ( - v0 1 ) v1 ) v2 ) v3 ) v4 ),( - ( * ( max ( min ( - v0 1 ) v1 ) v2 ) v3 ) v4 ),42
1119,( / ( + ( + v0 v1 ) 126 ) 128 ),( / ( + ( + v0 v1 ) 126 ) 128 ),3
1120,( min ( max ( min ( - ( + v0 v1 ) 1 ) 2 ) v1 ) ( max ( min ( - ( + v0 v1 ) 1 ) 0 ) v1 ) ),( max ( - ( min ( + v0 v1 ) 1 ) 1 ) v1 ),13
1121,( max ( * ( min ( + ( + ( * ( / ( - v0 v1 ) 32 ) 32 ) v1 ) 31 ) v0 ) 2 ) ( * ( + 31 ( min ( + ( * ( / ( - v0 v1 ) 32 ) 32 ) v1 ) ( - v0 31 ) ) ) 2 ) ),( * ( min ( + ( + ( * ( / ( - v0 v1 ) 32 ) 32 ) v1 ) 31 ) v0 ) 2 ),28
1122,( / ( - ( + v0 v1 ) 98 ) 16 ),( / ( - ( + v0 v1 ) 98 ) 16 ),3
1123,( && ( && ( && ( && ( && 1 ( && ( != v0 v1 ) ( == v2 v3 ) ) ) ( && ( != v0 v1 ) ( == v0 v1 ) ) ) ( && ( != v0 v1 ) ( == v4 v5 ) ) ) 1 ) 1 ),0,13
1124,( min ( + ( / v0 16 ) ( * ( / ( - ( / ( + ( + v1 v0 ) 14 ) 16 ) ( / v0 16 ) ) 8 ) 8 ) ) ( / ( - ( + v1 v0 ) 98 ) 16 ) ),( min ( / ( - ( + v1 v0 ) 98 ) 16 ) ( + ( / v0 16 ) ( * ( / ( - ( / ( + ( + v1 v0 ) 14 ) 16 ) ( / v0 16 ) ) 8 ) 8 ) ) ),14
1125,( / ( - ( + ( min v0 256 ) v1 ) 256 ) 2 ),( - ( / ( + ( min v0 256 ) v1 ) 2 ) 128 ),6
1126,( + ( - ( max ( max ( / ( + ( + v0 v1 ) 6 ) 8 ) ( + ( * ( min ( + ( + ( * ( / ( - v2 v3 ) 8 ) 8 ) v3 ) 7 ) v2 ) 2 ) 2 ) ) ( min ( + ( + ( * ( / ( - v4 v5 ) 8 ) 8 ) v5 ) 7 ) v4 ) ) ( min ( min ( min ( / ( - ( + ( min v0 64 ) v1 ) 60 ) 8 ) ( - ( min ( / ( + ( min v0 64 ) v1 ) 8 ) ( + ( * ( min ( - v2 7 ) v3 ) 2 ) 7 ) ) 8 ) ) ( - v4 7 ) ) v5 ) ) 1 ),( + ( - ( max ( max ( / ( + ( + v0 v1 ) 6 ) 8 ) ( + ( * ( min ( + ( + ( * ( / ( - v2 v3 ) 8 ) 8 ) v3 ) 7 ) v2 ) 2 ) 2 ) ) ( min ( + ( + ( * ( / ( - v4 v5 ) 8 ) 8 ) v5 ) 7 ) v4 ) ) ( min ( min ( min ( / ( - ( + ( min v0 64 ) v1 ) 60 ) 8 ) ( - ( min ( / ( + ( min v0 64 ) v1 ) 8 ) ( + ( * ( min ( - v2 7 ) v3 ) 2 ) 7 ) ) 8 ) ) ( - v4 7 ) ) v5 ) ) 1 ),17
1127,( * ( + v0 1 ) ( + ( * ( - v1 v2 ) 2 ) 4 ) ),( * ( + v0 1 ) ( + ( * ( - v1 v2 ) 2 ) 4 ) ),5
1128,v0,v0,23
1129,( + ( + ( + ( * v0 2 ) v1 ) 2 ) 0 ),( + ( + ( * v0 2 ) v1 ) 2 ),3
1130,( + ( + ( / ( + v0 1 ) 2 ) v1 ) 0 ),( + ( / ( + v0 1 ) 2 ) v1 ),4
1131,( + ( min ( / ( - ( + v0 v1 ) 386 ) 64 ) ( + ( / v1 64 ) ( * ( / ( - ( / ( + ( + v0 v1 ) 62 ) 64 ) ( / v1 64 ) ) 8 ) 8 ) ) ) 7 ),( + ( min ( / ( - ( + v0 v1 ) 386 ) 64 ) ( + ( / v1 64 ) ( * ( / ( - ( / ( + ( + v0 v1 ) 62 ) 64 ) ( / v1 64 ) ) 8 ) 8 ) ) ) 7 ),7
1132,( - ( max v0 0 ) ( max v1 0 ) ),( - ( max v0 0 ) ( max v1 0 ) ),17
1133,( - ( / v0 32 ) v1 ),( - ( / v0 32 ) v1 ),2
1134,( min ( min ( / v0 32 ) ( - ( * v1 2 ) 1 ) ) v2 ),( min ( min ( / v0 32 ) ( - ( * v1 2 ) 1 ) ) v2 ),10
1135,( / ( + ( + 0 ( - ( + ( min v0 64 ) v1 ) 64 ) ) 1 ) 2 ),( / ( - ( + ( min v0 64 ) v1 ) 63 ) 2 ),9
1136,( min ( min ( - v0 31 ) v1 ) ( - ( min ( / ( + ( min v2 64 ) v3 ) 4 ) ( + ( * ( min ( - v4 31 ) v5 ) 2 ) 15 ) ) 16 ) ),( min ( min ( - v0 31 ) v1 ) ( - ( min ( / ( + ( min v2 64 ) v3 ) 4 ) ( + ( * ( min ( - v4 31 ) v5 ) 2 ) 15 ) ) 16 ) ),9
1137,( min ( + ( * ( - ( + v0 v1 ) 1 ) 8 ) v2 ) ( + v3 ( - 1 8 ) ) ),( - ( min ( + ( * ( + v0 v1 ) 8 ) v2 ) ( + v3 1 ) ) 8 ),8
1138,( + ( min ( + ( * v0 8 ) v1 ) ( - v2 7 ) ) v3 ),( + ( min ( + ( * v0 8 ) v1 ) ( - v2 7 ) ) v3 ),4
1139,( / ( + ( % ( + v0 v1 ) 4 ) 262 ) 4 ),( / ( + ( % ( + v0 v1 ) 4 ) 262 ) 4 ),10
1140,( + 7 ( min ( + ( * ( / ( - v0 v1 ) 8 ) 8 ) v1 ) ( - v0 7 ) ) ),( min ( + ( + ( * ( / ( - v0 v1 ) 8 ) 8 ) v1 ) 7 ) v0 ),20
1141,( + v0 v1 ),( + v0 v1 ),13
1142,( + 0 ( min ( - v0 31 ) v1 ) ),( min ( - v0 31 ) v1 ),3
1143,( min ( + ( / ( - ( + ( min v0 8 ) v1 ) 8 ) 16 ) ( * 0 8 ) ) ( / ( - ( + v0 v1 ) 98 ) 16 ) ),( / ( - ( + ( min v0 98 ) v1 ) 98 ) 16 ),13
1144,( / ( / ( + ( + v0 v1 ) 1 ) 2 ) 2 ),( / ( + ( + v0 v1 ) 1 ) 4 ),5
1145,( - ( max ( max ( + ( * ( max ( min ( + ( + ( * ( / ( - v0 v1 ) 32 ) 32 ) v1 ) 31 ) v0 ) ( min ( + ( + ( * ( / ( - v2 v3 ) 8 ) 8 ) v3 ) 7 ) v2 ) ) 2 ) 3 ) ( + v4 v5 ) ) ( min ( + ( + ( * ( / ( - ( - v6 v7 ) 1 ) 32 ) 32 ) v7 ) 32 ) v6 ) ) 1 ),( - ( max ( max ( + ( * ( max ( min ( + ( + ( * ( / ( - v0 v1 ) 32 ) 32 ) v1 ) 31 ) v0 ) ( min ( + ( + ( * ( / ( - v2 v3 ) 8 ) 8 ) v3 ) 7 ) v2 ) ) 2 ) 3 ) ( + v4 v5 ) ) ( min ( + ( + ( * ( / ( - ( - v6 v7 ) 1 ) 32 ) 32 ) v7 ) 32 ) v6 ) ) 1 ),17
1146,( max ( max ( * ( max ( min ( + ( + ( * ( / ( - v0 v1 ) 32 ) 32 ) v1 ) 31 ) v0 ) ( + ( min ( + ( + ( * ( / ( - v2 v3 ) 8 ) 8 ) v3 ) 7 ) v2 ) 1 ) ) 2 ) ( + ( * ( min ( + ( + ( * ( / ( - v0 v1 ) 32 ) 32 ) v1 ) 31 ) v0 ) 2 ) 1 ) ) ( + ( * ( + 31 ( min ( + ( * ( / ( - v0 v1 ) 32 ) 32 ) v1 ) ( - v0 31 ) ) ) 2 ) 1 ) ),( max ( * ( max ( min ( + ( + ( * ( / ( - v0 v1 ) 32 ) 32 ) v1 ) 31 ) v0 ) ( + ( min ( + ( + ( * ( / ( - v2 v3 ) 8 ) 8 ) v3 ) 7 ) v2 ) 1 ) ) 2 ) ( + ( * ( min ( + ( + ( * ( / ( - v0 v1 ) 32 ) 32 ) v1 ) 31 ) v0 ) 2 ) 1 ) ),17
1147,( + ( - ( / ( + ( + v0 v1 ) 30 ) 32 ) ( - ( / ( + ( min v0 64 ) v1 ) 32 ) 2 ) ) 1 ),( + ( - ( / ( + ( + v0 v1 ) 30 ) 32 ) ( / ( + ( min v0 64 ) v1 ) 32 ) ) 3 ),12
1148,( + 0 ( - ( / ( + ( min v0 256 ) v1 ) 4 ) 64 ) ),( - ( / ( + ( min v0 256 ) v1 ) 4 ) 64 ),4
1149,( - ( + v0 1 ) 1 ),v0,2
1150,( min ( + ( * 7 8 ) ( min ( + ( * ( / ( - v0 v1 ) 64 ) 64 ) v1 ) ( - v0 63 ) ) ) ( + ( min ( + ( * ( / ( - v0 v1 ) 64 ) 64 ) v1 ) ( - v0 63 ) ) 56 ) ),( + ( min ( + ( * ( / ( - v0 v1 ) 64 ) 64 ) v1 ) ( - v0 63 ) ) 56 ),13
1151,( + ( * ( + v0 v1 ) v2 ) v3 ),( + ( * ( + v0 v1 ) v2 ) v3 ),3
1152,( && ( && ( && ( && ( && 1 ( && ( != v0 v1 ) ( == v0 v1 ) ) ) ( && ( != v0 v1 ) ( == v2 v3 ) ) ) ( && ( != v0 v1 ) ( == v4 v5 ) ) ) 1 ) 1 ),0,29
1153,( max ( max ( * ( max ( min ( + ( + ( * ( / ( - v0 v1 ) 32 ) 32 ) v1 ) 31 ) v0 ) ( + ( min ( + ( + ( * ( / ( - v2 v3 ) 8 ) 8 ) v3 ) 7 ) v2 ) 1 ) ) 2 ) ( + ( * ( min ( + ( + ( * ( / ( - v0 v1 ) 32 ) 32 ) v1 ) 31 ) v0 ) 2 ) 1 ) ) ( + ( * ( + 31 ( min ( + ( * ( / ( - v0 v1 ) 32 ) 32 ) v1 ) ( - v0 31 ) ) ) 2 ) 2 ) ),( + ( * ( max ( min ( + ( + ( * ( / ( - v0 v1 ) 32 ) 32 ) v1 ) 31 ) v0 ) ( min ( + ( + ( * ( / ( - v2 v3 ) 8 ) 8 ) v3 ) 7 ) v2 ) ) 2 ) 2 ),40
1154,( - ( * ( - ( * ( + v0 v1 ) 2 ) v2 ) ( + v3 1 ) ) v4 ),( - ( * ( - ( * ( + v0 v1 ) 2 ) v2 ) ( + v3 1 ) ) v4 ),7
1155,( max ( max ( max ( max ( / ( + ( + v0 v1 ) 30 ) 32 ) ( + ( * v2 2 ) 2 ) ) ( / ( + ( min ( / ( - ( + v0 v1 ) 98 ) 16 ) ( + ( / ( - ( + ( min v0 8 ) v1 ) 8 ) 16 ) ( * ( / ( - ( / ( + ( + v0 v1 ) 14 ) 16 ) ( / ( - ( + ( min v0 8 ) v1 ) 8 ) 16 ) ) 8 ) 8 ) ) ) 7 ) 2 ) ) ( + ( / ( min ( / ( - ( + v0 v1 ) 98 ) 16 ) ( + ( / ( - ( + ( min v0 8 ) v1 ) 8 ) 16 ) ( * ( / ( - ( / ( + ( + v0 v1 ) 14 ) 16 ) ( / ( - ( + ( min v0 8 ) v1 ) 8 ) 16 ) ) 8 ) 8 ) ) ) 2 ) 4 ) ) ( / ( + ( + 7 ( min ( / ( - ( + v0 v1 ) 98 ) 16 ) ( + ( / ( - ( + ( min v0 8 ) v1 ) 8 ) 16 ) ( * ( / ( - ( / ( + ( + v0 v1 ) 14 ) 16 ) ( / ( - ( + ( min v0 8 ) v1 ) 8 ) 16 ) ) 8 ) 8 ) ) ) ) 1 ) 2 ) ),( max ( max ( max ( / ( + ( + v0 v1 ) 30 ) 32 ) ( + ( * v2 2 ) 2 ) ) ( / ( + ( min ( / ( - ( + v0 v1 ) 98 ) 16 ) ( + ( / ( - ( + ( min v0 8 ) v1 ) 8 ) 16 ) ( * ( / ( - ( / ( + ( + v0 v1 ) 14 ) 16 ) ( / ( - ( + ( min v0 8 ) v1 ) 8 ) 16 ) ) 8 ) 8 ) ) ) 7 ) 2 ) ) ( + ( / ( min ( / ( - ( + v0 v1 ) 98 ) 16 ) ( + ( / ( - ( + ( min v0 8 ) v1 ) 8 ) 16 ) ( * ( / ( - ( / ( + ( + v0 v1 ) 14 ) 16 ) ( / ( - ( + ( min v0 8 ) v1 ) 8 ) 16 ) ) 8 ) 8 ) ) ) 2 ) 4 ) ),38
1156,( min ( + ( / v0 32 ) ( * ( / ( - ( / ( + ( + v1 v0 ) 30 ) 32 ) ( / v0 32 ) ) 8 ) 8 ) ) ( / ( - ( + v1 v0 ) 194 ) 32 ) ),( min ( / ( - ( + v1 v0 ) 194 ) 32 ) ( + ( / v0 32 ) ( * ( / ( - ( / ( + ( + v1 v0 ) 30 ) 32 ) ( / v0 32 ) ) 8 ) 8 ) ) ),24
1157,( max ( + ( * ( min ( + ( + ( * ( / ( - v0 v1 ) 8 ) 8 ) v1 ) 7 ) v0 ) 2 ) 1 ) ( - ( * ( + 7 ( min ( + ( * ( / ( - v0 v1 ) 8 ) 8 ) v1 ) ( - v0 7 ) ) ) 2 ) 1 ) ),( + ( * ( min ( + ( + ( * ( / ( - v0 v1 ) 8 ) 8 ) v1 ) 7 ) v0 ) 2 ) 1 ),36
1158,( min ( / v0 128 ) ( / ( + ( / v0 64 ) 1 ) 2 ) ),( / v0 128 ),4
1159,( min ( min ( min ( min ( * ( min ( - v0 63 ) v1 ) 2 ) ( - ( * ( min ( min ( - ( min v0 v2 ) 63 ) v3 ) v1 ) 2 ) 1 ) ) ( - ( + ( min v4 256 ) v5 ) 256 ) ) ( - v6 8 ) ) v7 ),( min ( min ( min ( min ( * ( min ( - v0 63 ) v1 ) 2 ) ( - ( * ( min ( min ( - ( min v0 v2 ) 63 ) v3 ) v1 ) 2 ) 1 ) ) ( - ( + ( min v4 256 ) v5 ) 256 ) ) ( - v6 8 ) ) v7 ),12
1160,( + 127 ( min ( + ( * ( / ( - v0 v1 ) 128 ) 128 ) v1 ) ( - v0 127 ) ) ),( min ( + ( + ( * ( / ( - v0 v1 ) 128 ) 128 ) v1 ) 127 ) v0 ),10
1161,( / ( + ( - ( + v0 v1 ) 64 ) 70 ) 8 ),( / ( + ( + v0 v1 ) 6 ) 8 ),22
1162,( + ( * ( + v0 v1 ) 16 ) 8 ),( + ( * ( + v0 v1 ) 16 ) 8 ),2
1163,( min ( / v0 2 ) ( / ( + 0 v0 ) 2 ) ),( / v0 2 ),2
1164,( + v0 ( / ( + v1 1 ) 2 ) ),( + ( / ( + v1 1 ) 2 ) v0 ),7
1165,( max v0 0 ),( max v0 0 ),2
1166,( min ( / v0 8 ) ( - ( * v1 2 ) 1 ) ),( min ( / v0 8 ) ( - ( * v1 2 ) 1 ) ),4
1167,( - ( - v0 1 ) 1 ),( - v0 2 ),5
1168,( max ( max ( / ( + ( + v0 v1 ) 2 ) 4 ) ( + ( * ( min ( + ( * ( / ( - v2 v3 ) 128 ) 128 ) v3 ) ( - v2 127 ) ) 2 ) 256 ) ) ( / ( + ( / ( + v0 v1 ) 2 ) 1 ) 2 ) ),( max ( / ( + ( + v0 v1 ) 2 ) 4 ) ( + ( * ( min ( + ( * ( / ( - v2 v3 ) 128 ) 128 ) v3 ) ( - v2 127 ) ) 2 ) 256 ) ),11
1169,( max ( * ( min ( + ( + ( * ( / ( - v0 v1 ) 8 ) 8 ) v1 ) 7 ) v0 ) 2 ) ( + ( * ( + 7 ( min ( + ( * ( / ( - v0 v1 ) 8 ) 8 ) v1 ) ( - v0 7 ) ) ) 2 ) 1 ) ),( + ( * ( min ( + ( + ( * ( / ( - v0 v1 ) 8 ) 8 ) v1 ) 7 ) v0 ) 2 ) 1 ),11
1170,( + ( max ( min ( + v0 ( * 12 1 ) ) ( - ( + v1 v2 ) 1 ) ) v2 ) ( - ( + ( * v3 v4 ) ( * ( max ( min ( - ( + v5 v6 ) 1 ) v7 ) v6 ) v8 ) ) ( + ( * v6 v8 ) ( + ( * v9 v4 ) v2 ) ) ) ),( + ( max ( - ( min ( + v0 13 ) ( + v1 v2 ) ) 1 ) v2 ) ( - ( + ( * v4 v3 ) ( * ( max ( min ( - ( + v5 v6 ) 1 ) v7 ) v6 ) v8 ) ) ( + ( * v6 v8 ) ( + ( * v9 v4 ) v2 ) ) ) ),16
1171,( + 0 ( / ( - ( + ( min v0 26 ) v1 ) 26 ) 4 ) ),( / ( - ( + ( min v0 26 ) v1 ) 26 ) 4 ),7
1172,( / ( + v0 63 ) 64 ),( / ( + v0 63 ) 64 ),6
1173,( min ( min ( * ( min ( - v0 31 ) v1 ) 2 ) ( - ( * ( min ( - v2 7 ) v3 ) 2 ) 1 ) ) ( + ( * ( + 0 ( min ( - v0 31 ) v1 ) ) 2 ) 1 ) ),( min ( * ( min ( - v0 31 ) v1 ) 2 ) ( - ( * ( min ( - v2 7 ) v3 ) 2 ) 1 ) ),7
1174,( max ( max ( / ( + ( + v0 v1 ) 6 ) 8 ) ( + ( * ( min ( + ( * ( / ( - v2 v3 ) 64 ) 64 ) v3 ) ( - v2 63 ) ) 2 ) 128 ) ) ( / ( + ( / ( + ( + v0 v1 ) 2 ) 4 ) 1 ) 2 ) ),( max ( / ( + ( + v0 v1 ) 6 ) 8 ) ( + ( * ( min ( + ( * ( / ( - v2 v3 ) 64 ) 64 ) v3 ) ( - v2 63 ) ) 2 ) 128 ) ),13
1175,( + ( + ( * ( - ( + 8 0 ) 1 ) 8 ) ( - ( + 8 0 ) 1 ) ) v0 ),( + v0 63 ),2
1176,( min ( min ( / v0 2 ) v1 ) v2 ),( min ( min ( / v0 2 ) v1 ) v2 ),7
1177,( && ( && ( && ( && ( && 1 ( && ( != v0 v1 ) ( == v0 v1 ) ) ) ( && ( != v0 v1 ) ( == v2 v3 ) ) ) ( && ( != v0 v1 ) ( == v4 v5 ) ) ) 1 ) 1 ),0,21
1178,( + v0 ( min ( * v1 8 ) 121 ) ),( + ( min ( * v1 8 ) 121 ) v0 ),4
1179,( min ( + ( * ( + 0 ( / ( - ( + ( min v0 770 ) v1 ) 770 ) 128 ) ) 2 ) 2 ) ( - ( * ( + 0 ( / ( - ( + ( min v0 770 ) v1 ) 770 ) 128 ) ) 2 ) 1 ) ),( - ( * ( / ( - ( + ( min v0 770 ) v1 ) 770 ) 128 ) 2 ) 1 ),16
1180,( % ( / v0 64 ) 2 ),( % ( / v0 64 ) 2 ),1
1181,( min ( * v0 2 ) ( - ( * v0 2 ) 1 ) ),( - ( * v0 2 ) 1 ),3
1182,( - ( + v0 1 ) 1 ),v0,8
1183,( min ( + ( * 7 8 ) ( min ( + ( * ( / ( - v0 v1 ) 64 ) 64 ) v1 ) ( - v0 63 ) ) ) ( + ( min ( + ( * ( / ( - v0 v1 ) 64 ) 64 ) v1 ) ( - v0 63 ) ) 56 ) ),( + ( min ( + ( * ( / ( - v0 v1 ) 64 ) 64 ) v1 ) ( - v0 63 ) ) 56 ),21
1184,( min ( + ( * ( + 0 ( min ( - v0 7 ) v1 ) ) 2 ) 2 ) ( - ( * ( + 0 ( min ( - v0 7 ) v1 ) ) 2 ) 1 ) ),( - ( * ( min ( - v0 7 ) v1 ) 2 ) 1 ),11
1185,( max ( / v0 2 ) ( / ( + v0 1 ) 2 ) ),( / ( + v0 1 ) 2 ),22
1186,( + v0 ( * ( - ( * ( + v1 v2 ) 2 ) v3 ) ( + v4 1 ) ) ),( + ( * ( - ( * ( + v2 v1 ) 2 ) v3 ) ( + v4 1 ) ) v0 ),6
1187,( + v0 ( / ( + ( + v1 v2 ) 1 ) 2 ) ),( + ( / ( + ( + v2 v1 ) 1 ) 2 ) v0 ),5
1188,( min ( * v0 64 ) ( - v1 64 ) ),( min ( * v0 64 ) ( - v1 64 ) ),6
1189,( + 7 ( min ( / ( - ( + v0 v1 ) 26 ) 4 ) ( - ( + ( / ( + ( min v0 8 ) v1 ) 4 ) ( * ( / ( + ( - ( / ( + ( + v0 v1 ) 2 ) 4 ) ( / ( + ( min v0 8 ) v1 ) 4 ) ) 2 ) 8 ) 8 ) ) 2 ) ) ),( + ( min ( / ( - ( + v0 v1 ) 26 ) 4 ) ( - ( + ( / ( + ( min v0 8 ) v1 ) 4 ) ( * ( / ( + ( - ( / ( + ( + v0 v1 ) 2 ) 4 ) ( / ( + ( min v0 8 ) v1 ) 4 ) ) 2 ) 8 ) 8 ) ) 2 ) ) 7 ),11
1190,( min ( * v0 256 ) ( - v1 256 ) ),( min ( * v0 256 ) ( - v1 256 ) ),4
1191,( <= ( max 0 ( + ( min ( / ( - ( / ( - ( + v0 v1 ) 50 ) 8 ) ( / v1 8 ) ) 8 ) ( - ( + 0 ( + ( / v2 8 ) 1 ) ) 1 ) ) 1 ) ) 0 ),( <= ( min ( - ( / ( - ( + v0 v1 ) 50 ) 8 ) ( / v1 8 ) ) v2 ) -1 ),53
1192,( max ( - ( * v0 2 ) 1 ) ( * v0 2 ) ),( * v0 2 ),6
1193,( min v0 ( - ( * v1 2 ) 1 ) ),( min ( - ( * v1 2 ) 1 ) v0 ),7
1194,( min ( / ( - ( + ( min v0 98 ) v1 ) 98 ) 32 ) ( / ( + 0 ( / ( - ( + ( min v0 98 ) v1 ) 98 ) 16 ) ) 2 ) ),( / ( - ( + ( min v0 98 ) v1 ) 98 ) 32 ),5
1195,( + 7 ( min ( + ( * ( / ( - v0 v1 ) 8 ) 8 ) v1 ) ( - v0 7 ) ) ),( min ( + ( + ( * ( / ( - v0 v1 ) 8 ) 8 ) v1 ) 7 ) v0 ),10
1196,( + ( + v0 ( * v1 v2 ) ) v3 ),( + ( + ( * v1 v2 ) v0 ) v3 ),24
1197,( + ( - ( / ( + ( + v0 v1 ) 30 ) 32 ) ( / v1 32 ) ) 1 ),( + ( - ( / ( + ( + v0 v1 ) 30 ) 32 ) ( / v1 32 ) ) 1 ),8
1198,( min ( - ( * v0 2 ) 1 ) ( / v1 32 ) ),( min ( / v1 32 ) ( - ( * v0 2 ) 1 ) ),3
1199,( min v0 v1 ),( min v0 v1 ),3
1200,( * ( - ( / ( + ( + v0 v1 ) 1 ) 2 ) v2 ) 129 ),( * ( - ( / ( + ( + v1 v0 ) 1 ) 2 ) v2 ) 129 ),17
1201,( + ( / ( - v0 v1 ) 64 ) 1 ),( + ( / ( - v0 v1 ) 64 ) 1 ),9
1202,( max ( + ( * ( min ( + ( + ( * ( / ( - v0 v1 ) 64 ) 64 ) v1 ) 63 ) v0 ) 2 ) 2 ) ( * ( + 7 ( + ( min ( + ( * ( / ( - v0 v1 ) 64 ) 64 ) v1 ) ( - v0 63 ) ) 56 ) ) 2 ) ),( + ( * ( min ( + ( + ( * ( / ( - v0 v1 ) 64 ) 64 ) v1 ) 63 ) v0 ) 2 ) 2 ),16
1203,( / ( - ( / ( + ( min v0 64 ) v1 ) 2 ) 32 ) 4 ),( - ( / ( + ( min v0 64 ) v1 ) 8 ) 8 ),27
1204,( - ( / ( + ( min v0 8 ) v1 ) 4 ) 2 ),( - ( / ( + ( min v0 8 ) v1 ) 4 ) 2 ),10
1205,( + ( + ( * v0 16 ) v1 ) v2 ),( + ( + ( * v0 16 ) v1 ) v2 ),2
1206,( max ( + ( * ( min ( + ( + ( * ( / ( - v0 v1 ) 8 ) 8 ) v1 ) 7 ) v0 ) 2 ) 2 ) ( + 7 ( min ( / ( - ( + v2 v3 ) 98 ) 16 ) ( + ( / v3 16 ) ( * ( / ( - ( / ( + ( + v2 v3 ) 14 ) 16 ) ( / v3 16 ) ) 8 ) 8 ) ) ) ) ),( + ( max ( * ( min ( + ( + ( * ( / ( - v0 v1 ) 8 ) 8 ) v1 ) 7 ) v0 ) 2 ) ( + ( min ( / ( - ( + v2 v3 ) 98 ) 16 ) ( + ( / v3 16 ) ( * ( / ( - ( / ( + ( + v2 v3 ) 14 ) 16 ) ( / v3 16 ) ) 8 ) 8 ) ) ) 5 ) ) 2 ),24
1207,( + ( + ( * 0 16 ) 0 ) v0 ),v0,2
1208,( max ( max ( / ( + ( + v0 v1 ) 30 ) 32 ) ( + ( * v2 2 ) 2 ) ) v3 ),( max ( max ( / ( + ( + v0 v1 ) 30 ) 32 ) ( + ( * v2 2 ) 2 ) ) v3 ),4
1209,( + ( * ( / ( + ( + v0 v1 ) 126 ) 128 ) 2 ) 1 ),( + ( * ( / ( + ( + v0 v1 ) 126 ) 128 ) 2 ) 1 ),2
1210,( min ( / ( - ( + ( min v0 50 ) v1 ) 50 ) 16 ) ( / ( + ( + 0 ( / ( - ( + ( min v0 50 ) v1 ) 50 ) 8 ) ) 1 ) 2 ) ),( / ( - ( + ( min v0 50 ) v1 ) 50 ) 16 ),14
1211,( <= ( - v0 v1 ) 0 ),( <= v0 v1 ),28
1212,( min ( + 0 ( - ( + ( min v0 64 ) v1 ) 64 ) ) ( + 0 ( min ( - v2 32 ) v3 ) ) ),( min ( min ( - v2 32 ) v3 ) ( - ( + ( min v0 64 ) v1 ) 64 ) ),4
1213,( min ( / v0 128 ) ( / ( + ( / v0 64 ) 1 ) 2 ) ),( / v0 128 ),7
1214,( max ( min ( / ( + v0 v1 ) 2 ) ( + ( + ( / ( + ( min v0 8 ) v1 ) 2 ) ( * ( / ( + ( - ( / ( + v0 v1 ) 2 ) ( / ( + ( min v0 8 ) v1 ) 2 ) ) 4 ) 8 ) 8 ) ) 3 ) ) ( / ( min ( + ( * ( / ( - ( max v0 8 ) 1 ) 8 ) 8 ) ( + ( min v0 8 ) v1 ) ) ( + v0 v1 ) ) 2 ) ),( max ( min ( / ( + v0 v1 ) 2 ) ( + ( + ( / ( + ( min v0 8 ) v1 ) 2 ) ( * ( / ( + ( - ( / ( + v0 v1 ) 2 ) ( / ( + ( min v0 8 ) v1 ) 2 ) ) 4 ) 8 ) 8 ) ) 3 ) ) ( / ( min ( + ( * ( / ( - ( max v0 8 ) 1 ) 8 ) 8 ) ( + ( min v0 8 ) v1 ) ) ( + v0 v1 ) ) 2 ) ),19
