ID,Expression
1706,( == ( + ( max ( min v0 1999 ) 0 ) ( * ( / v1 4 ) 4 ) ) ( + ( max ( min v0 1999 ) 0 ) ( * ( / v1 4 ) 4 ) ) )
1707,( == ( + ( max ( min ( / ( - ( + ( min v0 5 ) v1 ) 5 ) 2 ) 999 ) 0 ) ( * v2 48 ) ) ( + ( max ( min ( / ( - ( + ( min v0 5 ) v1 ) 5 ) 2 ) 999 ) 0 ) ( * v2 48 ) ) )
1708,( == ( - ( * ( + ( * v0 3 ) v1 ) 8 ) 32 ) ( - ( + ( - ( * ( + ( * v0 3 ) v1 ) 8 ) 32 ) ( + ( * ( min v2 -2 ) 8 ) 40 ) ) 1 ) )
1709,( == ( max ( min v0 263 ) ( min ( + ( max ( min v0 263 ) 14 ) ( * ( / ( + v1 23 ) 4 ) 4 ) ) ( + ( max ( min v0 249 ) 0 ) 20 ) ) ) ( max ( min v0 263 ) ( min ( + ( max ( min v0 263 ) 14 ) ( * ( / ( + v1 23 ) 4 ) 4 ) ) ( + ( max ( min v0 249 ) 0 ) 20 ) ) ) )
1710,( == ( min ( * ( max ( min ( / ( + ( + v0 v1 ) 132 ) 8 ) 249 ) 0 ) 8 ) ( + v2 55 ) ) ( min ( * ( max ( min ( / ( + ( + v0 v1 ) 132 ) 8 ) 249 ) 0 ) 8 ) ( + v2 55 ) ) )
1711,( == 0 ( - ( + 0 ( + ( * ( min ( - ( - ( / ( - ( + v0 v1 ) 1 ) 63 ) ( * v2 2 ) ) ( / v1 63 ) ) 1 ) 2 ) 2 ) ) 1 ) )
1712,( == ( * ( / ( max ( min ( + ( * v3 -508 ) ( max ( - 2000 ( min v1 0 ) ) v2 ) ) 484 ) -24 ) 4 ) 4 ) ( max ( min ( + ( * v3 -508 ) ( max ( - 2000 ( min v1 0 ) ) v2 ) ) 484 ) -24 ) )
1713,( == ( min ( - ( min ( - ( - ( - ( / ( - ( + v0 v1 ) 1 ) 8 ) ( * v2 64 ) ) ( * v3 32 ) ) ( / v1 8 ) ) 31 ) 3 ) v4 ) ( min ( - ( min ( - ( - ( - ( / ( - ( + v0 v1 ) 1 ) 8 ) ( * v2 64 ) ) ( * v3 32 ) ) ( / v1 8 ) ) 31 ) 3 ) v4 ) )
1714,( == ( min ( + ( * v0 4 ) v1 ) ( + v2 16 ) ) ( min ( + ( * v0 4 ) v1 ) ( + v2 16 ) ) )
1715,( == ( min ( * v0 2 ) ( + ( * ( + ( * v1 30 ) v2 ) 2 ) 47 ) ) ( min ( * v0 2 ) ( + ( * ( + ( * v1 30 ) v2 ) 2 ) 47 ) ) )
1716,( == ( + ( * v0 -16 ) ( - ( max ( * ( / ( - ( + v1 v2 ) 1 ) 65 ) 8 ) 239 ) v3 ) ) ( + ( * v0 -16 ) ( - ( max ( * ( / ( - ( + v1 v2 ) 1 ) 65 ) 8 ) 239 ) v3 ) ) )
1717,( == ( + ( * ( min v0 0 ) 8 ) ( + ( * v1 128 ) ( + ( min ( * ( + ( min ( + ( * v1 -16 ) ( - ( max v2 249 ) ( min v0 0 ) ) ) 15 ) ( * v3 -4 ) ) 8 ) -92 ) ( * v3 32 ) ) ) ) ( + ( * ( min v0 0 ) 8 ) ( + ( * v1 128 ) ( + ( min ( * ( + ( min ( + ( * v1 -16 ) ( - ( max v2 249 ) ( min v0 0 ) ) ) 15 ) ( * v3 -4 ) ) 8 ) -92 ) ( * v3 32 ) ) ) ) )
1718,( >= ( - ( + ( + v0 v1 ) v2 ) 5 ) ( + ( + ( + ( + ( - v0 1 ) v1 ) v2 ) 1 ) 1 ) )
1719,( != ( + ( / v0 252 ) 1 ) 0 )
1720,( == ( * ( / ( * ( % v0 ( / ( + v1 74 ) 64 ) ) -64 ) 4 ) 4 ) ( * ( % v0 ( / ( + v1 74 ) 64 ) ) -64 ) )
1721,( == ( + ( / ( max ( * ( max ( min ( / v0 2 ) 1006 ) 7 ) 8 ) 115 ) 4 ) ( * v1 4 ) ) ( + ( / ( max ( * ( max ( min ( / v0 2 ) 1006 ) 7 ) 8 ) 115 ) 4 ) ( * v1 4 ) ) )
1722,( == ( min ( * v0 252 ) ( - v1 252 ) ) ( min ( * v0 252 ) ( - v1 252 ) ) )
1723,( == ( max ( / ( + v0 11 ) 4 ) ( + ( max v1 -1 ) 1 ) ) ( max ( / ( + v0 11 ) 4 ) ( + ( max v1 -1 ) 1 ) ) )
1724,( == ( * ( / ( max ( min ( + ( * v1 -128 ) ( + ( * ( / v2 128 ) -128 ) v2 ) ) 128 ) 0 ) 4 ) 4 ) ( max ( min ( + ( * v1 -128 ) ( + ( * ( / v2 128 ) -128 ) v2 ) ) 128 ) 0 ) )
1725,( == ( * ( / ( * ( % v0 ( / ( + v1 133 ) 128 ) ) -128 ) 4 ) 4 ) ( * ( % v0 ( / ( + v1 133 ) 128 ) ) -128 ) )
1726,( == ( - ( / ( - v0 1 ) 4 ) ( * ( + ( * v1 8 ) v2 ) 4 ) ) ( - ( / ( - v0 1 ) 4 ) ( * ( + ( * v1 8 ) v2 ) 4 ) ) )
1727,( && ( && ( && ( && ( && ( && 1 ( <= ( - ( + 0 ( + ( * v0 4 ) v1 ) ) 2 ) ( - ( + ( + ( * v0 4 ) v1 ) 0 ) 2 ) ) ) ( >= ( - ( + 3 ( + ( + ( * v0 4 ) v1 ) 8 ) ) 2 ) ( + ( + ( + ( * v0 4 ) v1 ) ( - ( + 4 0 ) 1 ) ) ( - ( - 6 2 ) 1 ) ) ) ) ( <= ( - ( max ( * v2 8 ) ( + v3 4 ) ) 1 ) ( + -2 v3 ) ) ) ( >= ( + v3 3 ) ( + ( - ( - 6 2 ) 1 ) v3 ) ) ) ( <= v4 v4 ) ) ( >= v4 v4 ) )
1728,( == ( min ( / ( + ( + v0 v1 ) 3 ) 4 ) ( + ( + ( / v1 4 ) ( * v2 32 ) ) 31 ) ) ( min ( / ( + ( + v0 v1 ) 3 ) 4 ) ( + ( + ( / v1 4 ) ( * v2 32 ) ) 31 ) ) )
1729,( == ( max ( min ( min ( - ( / ( + ( + v0 v1 ) 158 ) 16 ) ( * ( / v2 250 ) 16 ) ) ( + ( min ( - ( / ( + v0 v1 ) 16 ) ( * ( / v2 250 ) 16 ) ) ( + ( * ( - ( / ( - ( + v3 v2 ) 1 ) 250 ) ( / v2 250 ) ) 16 ) 14 ) ) 11 ) ) ( + ( * v4 16 ) 26 ) ) ( + ( min ( max ( - ( / v1 16 ) ( * ( / v2 250 ) 16 ) ) -12 ) ( + ( * v4 16 ) 15 ) ) 11 ) ) ( max ( min ( min ( - ( / ( + ( + v0 v1 ) 158 ) 16 ) ( * ( / v2 250 ) 16 ) ) ( + ( min ( - ( / ( + v0 v1 ) 16 ) ( * ( / v2 250 ) 16 ) ) ( + ( * ( - ( / ( - ( + v3 v2 ) 1 ) 250 ) ( / v2 250 ) ) 16 ) 14 ) ) 11 ) ) ( + ( * v4 16 ) 26 ) ) ( + ( min ( max ( - ( / v1 16 ) ( * ( / v2 250 ) 16 ) ) -12 ) ( + ( * v4 16 ) 15 ) ) 11 ) ) )
1730,( == ( * ( / ( max ( min ( + ( * v1 -12 ) ( - ( max ( min ( + v2 v3 ) 2000 ) 1 ) ( max ( min v3 1999 ) 0 ) ) ) 12 ) 0 ) 4 ) 4 ) ( max ( min ( + ( * v1 -12 ) ( - ( max ( min ( + v2 v3 ) 2000 ) 1 ) ( max ( min v3 1999 ) 0 ) ) ) 12 ) 0 ) )
1731,( == ( - ( min ( - ( - ( / ( - ( + v0 v1 ) 1 ) 8 ) ( * v2 36 ) ) ( * v3 12 ) ) ( + ( / v1 8 ) 11 ) ) ( + ( / v1 8 ) ( * v4 4 ) ) ) ( - ( min ( - ( - ( / ( - ( + v0 v1 ) 1 ) 8 ) ( * v2 36 ) ) ( * v3 12 ) ) ( + ( / v1 8 ) 11 ) ) ( + ( / v1 8 ) ( * v4 4 ) ) ) )
1732,( == ( max ( * ( + ( * v0 28 ) v1 ) 8 ) ( + ( + ( * v2 8 ) v3 ) 147 ) ) ( max ( * ( + ( * v0 28 ) v1 ) 8 ) ( + ( + ( * v2 8 ) v3 ) 147 ) ) )
1733,( == ( - ( max ( min ( / ( + ( + v0 v1 ) 7 ) 8 ) 249 ) 0 ) ( + ( * v2 4 ) v3 ) ) ( - ( max ( min ( / ( + ( + v0 v1 ) 7 ) 8 ) 249 ) 0 ) ( + ( * v2 4 ) v3 ) ) )
1734,( == ( + ( / ( - ( / ( - ( + v0 v1 ) 1 ) 8 ) ( / v1 8 ) ) 84 ) 1 ) ( + ( / ( - ( / ( - ( + v0 v1 ) 1 ) 8 ) ( / v1 8 ) ) 84 ) 1 ) )
1735,( <= ( max ( + ( min ( - ( + v2 v3 ) 1 ) ( - ( + ( - ( * v4 8 ) 547 ) ( + ( * ( min ( - ( - ( * ( min v5 31 ) 8 ) ( * v6 76 ) ) ( * ( min v7 36 ) 8 ) ) -76 ) 8 ) 1216 ) ) 1 ) ) 1 ) ( min ( max v3 ( - ( * v4 8 ) 547 ) ) ( + ( + ( * ( min ( - ( - ( * ( min v5 31 ) 8 ) ( * v6 76 ) ) ( * ( min v7 36 ) 8 ) ) -76 ) 8 ) 1216 ) ( - ( * v4 8 ) 547 ) ) ) ) ( min ( max v3 ( - ( * v4 8 ) 547 ) ) ( + ( + ( * ( min ( - ( - ( * ( min v5 31 ) 8 ) ( * v6 76 ) ) ( * ( min v7 36 ) 8 ) ) -76 ) 8 ) 1216 ) ( - ( * v4 8 ) 547 ) ) ) )
1736,( == ( min ( - ( min ( - ( - ( - ( / ( - ( + v0 v1 ) 1 ) 8 ) ( * v2 128 ) ) ( * v3 32 ) ) ( / v1 8 ) ) 31 ) 3 ) v4 ) ( min ( - ( min ( - ( - ( - ( / ( - ( + v0 v1 ) 1 ) 8 ) ( * v2 128 ) ) ( * v3 32 ) ) ( / v1 8 ) ) 31 ) 3 ) v4 ) )
1737,( == ( max ( - -1 ( min ( + ( / ( + ( % ( + ( + ( min ( * v0 1000 ) ( - v1 1000 ) ) v2 ) 4 ) 8 ) 259 ) 8 ) ( * v3 -8 ) ) 7 ) ) ( - ( max v4 -7 ) 1 ) ) ( max ( - -1 ( min ( + ( / ( + ( % ( + ( + ( min ( * v0 1000 ) ( - v1 1000 ) ) v2 ) 4 ) 8 ) 259 ) 8 ) ( * v3 -8 ) ) 7 ) ) ( - ( max v4 -7 ) 1 ) ) )
1738,( == ( min ( + ( + ( min ( * v0 256 ) 754 ) ( + v1 v2 ) ) 253 ) v3 ) ( min ( + ( + ( min ( * v0 256 ) 754 ) ( + v1 v2 ) ) 253 ) v3 ) )
1739,( == ( max ( min ( max ( max ( / ( + ( - ( max v0 0 ) ( * v1 8 ) ) 114 ) 32 ) ( / ( - 14 v1 ) 4 ) ) 0 ) ( / ( + ( - ( max v2 0 ) v1 ) 17 ) 4 ) ) ( + ( min ( min ( min ( / ( + ( - ( min ( + v3 v0 ) 2000 ) ( * v1 8 ) ) 50 ) 32 ) ( / ( + ( - ( max v2 0 ) v1 ) 10 ) 4 ) ) ( / ( - 256 v1 ) 4 ) ) ( / ( + ( - ( max v2 0 ) v1 ) 13 ) 4 ) ) 1 ) ) ( max ( min ( max ( max ( / ( + ( - ( max v0 0 ) ( * v1 8 ) ) 114 ) 32 ) ( / ( - 14 v1 ) 4 ) ) 0 ) ( / ( + ( - ( max v2 0 ) v1 ) 17 ) 4 ) ) ( + ( min ( min ( min ( / ( + ( - ( min ( + v3 v0 ) 2000 ) ( * v1 8 ) ) 50 ) 32 ) ( / ( + ( - ( max v2 0 ) v1 ) 10 ) 4 ) ) ( / ( - 256 v1 ) 4 ) ) ( / ( + ( - ( max v2 0 ) v1 ) 13 ) 4 ) ) 1 ) ) )
1740,( == ( min ( max v0 0 ) ( + ( + ( * v1 16 ) v2 ) 15 ) ) ( min ( max v0 0 ) ( + ( + ( * v1 16 ) v2 ) 15 ) ) )
1741,( == ( min ( + ( + ( * ( / ( min ( - ( / ( + ( % ( + ( min ( * v0 500 ) ( - v1 500 ) ) v2 ) 8 ) 507 ) 8 ) ( * v3 32 ) ) ( - 64 ( max ( * v3 32 ) 33 ) ) ) 16 ) 16 ) v4 ) ( + ( min ( - ( / ( + ( % ( + ( min ( * v0 500 ) ( - v1 500 ) ) v2 ) 8 ) 507 ) 8 ) ( * v3 32 ) ) 3 ) ( * ( min ( / ( min ( - ( / ( + ( % ( + ( min ( * v0 500 ) ( - v1 500 ) ) v2 ) 8 ) 507 ) 8 ) ( * v3 32 ) ) 31 ) 4 ) 3 ) 4 ) ) ) v5 ) ( min ( + ( + ( * ( / ( min ( - ( / ( + ( % ( + ( min ( * v0 500 ) ( - v1 500 ) ) v2 ) 8 ) 507 ) 8 ) ( * v3 32 ) ) ( - 64 ( max ( * v3 32 ) 33 ) ) ) 16 ) 16 ) v4 ) ( + ( min ( - ( / ( + ( % ( + ( min ( * v0 500 ) ( - v1 500 ) ) v2 ) 8 ) 507 ) 8 ) ( * v3 32 ) ) 3 ) ( * ( min ( / ( min ( - ( / ( + ( % ( + ( min ( * v0 500 ) ( - v1 500 ) ) v2 ) 8 ) 507 ) 8 ) ( * v3 32 ) ) 31 ) 4 ) 3 ) 4 ) ) ) v5 ) )
1742,( == ( / ( + ( * ( - ( / ( + ( + v0 v1 ) 440 ) 63 ) ( / v1 63 ) ) 8 ) 249 ) 185 ) ( / ( + ( * ( - ( / ( + ( + v0 v1 ) 440 ) 63 ) ( / v1 63 ) ) 8 ) 249 ) 185 ) )
1743,( == ( / ( + ( * ( - ( / ( + ( + v0 v1 ) 124 ) 125 ) ( / v1 125 ) ) 128 ) 217 ) 36 ) ( / ( + ( * ( - ( / ( + ( + v0 v1 ) 124 ) 125 ) ( / v1 125 ) ) 128 ) 217 ) 36 ) )
1744,( == ( + ( min ( * v0 2 ) ( + v1 14 ) ) ( / v2 2 ) ) ( + ( min ( * v0 2 ) ( + v1 14 ) ) ( / v2 2 ) ) )
1745,( == ( + ( min ( - v0 ( * v1 516 ) ) 493 ) ( * v2 -2 ) ) ( + ( min ( - v0 ( * v1 516 ) ) 493 ) ( * v2 -2 ) ) )
1746,( == ( - ( - ( / ( - ( + v0 v1 ) 1 ) 4 ) ( * v2 8 ) ) ( / v1 4 ) ) ( - ( - ( / ( - ( + v0 v1 ) 1 ) 4 ) ( * v2 8 ) ) ( / v1 4 ) ) )
1747,( == ( - ( min ( - ( max ( min ( / ( + ( + v0 v1 ) 3 ) 4 ) 499 ) 0 ) ( * v2 32 ) ) ( + ( max ( min ( / v1 4 ) 499 ) 0 ) 28 ) ) ( + ( max ( min ( / v1 4 ) 499 ) 0 ) v3 ) ) ( - ( min ( - ( max ( min ( / ( + ( + v0 v1 ) 3 ) 4 ) 499 ) 0 ) ( * v2 32 ) ) ( + ( max ( min ( / v1 4 ) 499 ) 0 ) 28 ) ) ( + ( max ( min ( / v1 4 ) 499 ) 0 ) v3 ) ) )
1748,( == ( min ( + ( * v0 2 ) ( + ( * v1 36 ) v2 ) ) ( + v3 45 ) ) ( min ( + ( * v0 2 ) ( + ( * v1 36 ) v2 ) ) ( + v3 45 ) ) )
1749,( == ( - ( - ( / ( + ( + v0 v1 ) 13 ) 2 ) ( * v2 64 ) ) ( / v1 2 ) ) ( - ( - ( / ( + ( + v0 v1 ) 13 ) 2 ) ( * v2 64 ) ) ( / v1 2 ) ) )
1750,( == ( + ( max ( min ( / v0 8 ) 249 ) 0 ) ( * v1 4 ) ) ( + ( max ( min ( / v0 8 ) 249 ) 0 ) ( * v1 4 ) ) )
1751,( == ( max ( * ( + ( * ( + v0 v1 ) 8 ) v2 ) 4 ) ( + ( + ( * ( + v0 v1 ) 32 ) ( + ( * v2 4 ) v3 ) ) 24 ) ) ( max ( * ( + ( * ( + v0 v1 ) 8 ) v2 ) 4 ) ( + ( + ( * ( + v0 v1 ) 32 ) ( + ( * v2 4 ) v3 ) ) 24 ) ) )
1752,( == ( / ( + ( - ( / ( + ( + v0 v1 ) 31 ) 8 ) ( / v1 8 ) ) 71 ) 68 ) ( / ( + ( - ( / ( + ( + v0 v1 ) 31 ) 8 ) ( / v1 8 ) ) 71 ) 68 ) )
1753,( == ( - ( + v0 v1 ) 7 ) ( - ( + ( - ( + v0 v1 ) 7 ) 138 ) 1 ) )
1754,( == ( / ( + ( * ( - v0 v1 ) 8 ) 259 ) 153 ) ( / ( + ( * ( - v0 v1 ) 8 ) 259 ) 153 ) )
1755,( == ( - ( / ( + ( + v0 v1 ) 31 ) 32 ) ( + ( * ( + ( * v2 2 ) v3 ) 4 ) v4 ) ) ( - ( / ( + ( + v0 v1 ) 31 ) 32 ) ( + ( * ( + ( * v2 2 ) v3 ) 4 ) v4 ) ) )
1756,( == ( min ( * ( + ( / ( min ( / v0 8 ) 0 ) 16 ) v1 ) 16 ) ( + ( * ( / ( max ( / ( + ( + v2 v0 ) 7 ) 8 ) 255 ) 16 ) 16 ) 3 ) ) ( min ( * ( + ( / ( min ( / v0 8 ) 0 ) 16 ) v1 ) 16 ) ( + ( * ( / ( max ( / ( + ( + v2 v0 ) 7 ) 8 ) 255 ) 16 ) 16 ) 3 ) ) )
1757,( == ( + ( * v0 132 ) ( * ( max ( min ( * ( / v1 500 ) 8 ) 67 ) 36 ) 8 ) ) ( + ( * v0 132 ) ( * ( max ( min ( * ( / v1 500 ) 8 ) 67 ) 36 ) 8 ) ) )
1758,( == ( min ( - ( min ( - ( max ( min ( / ( - ( + v0 v1 ) 1 ) 2 ) 999 ) 0 ) ( * v2 32 ) ) ( + ( max ( min ( / v1 2 ) 999 ) 0 ) 31 ) ) ( + ( max ( min ( / v1 2 ) 999 ) 0 ) ( * v3 6 ) ) ) ( - ( - ( + ( min ( max ( min ( / ( - ( + v0 v1 ) 1 ) 2 ) 999 ) 0 ) ( + ( + ( min ( * v3 6 ) 26 ) ( + ( max ( min ( / v1 2 ) 999 ) 0 ) ( * v2 32 ) ) ) 5 ) ) ( * v3 -6 ) ) ( + ( max ( min ( / v1 2 ) 999 ) 0 ) ( * v2 32 ) ) ) 1 ) ) ( min ( - ( min ( - ( max ( min ( / ( - ( + v0 v1 ) 1 ) 2 ) 999 ) 0 ) ( * v2 32 ) ) ( + ( max ( min ( / v1 2 ) 999 ) 0 ) 31 ) ) ( + ( max ( min ( / v1 2 ) 999 ) 0 ) ( * v3 6 ) ) ) ( - ( - ( + ( min ( max ( min ( / ( - ( + v0 v1 ) 1 ) 2 ) 999 ) 0 ) ( + ( + ( min ( * v3 6 ) 26 ) ( + ( max ( min ( / v1 2 ) 999 ) 0 ) ( * v2 32 ) ) ) 5 ) ) ( * v3 -6 ) ) ( + ( max ( min ( / v1 2 ) 999 ) 0 ) ( * v2 32 ) ) ) 1 ) ) )
1759,( && ( && ( && ( && ( && ( && 1 ( <= ( - ( + ( - ( + ( * v0 4 ) v1 ) 3 ) 0 ) 4 ) ( - ( - ( + ( + ( * v0 4 ) 0 ) v1 ) 3 ) 4 ) ) ) ( >= ( - ( + ( + ( + ( * v0 4 ) v1 ) ( - ( - 4 3 ) 1 ) ) 3 ) 4 ) ( - ( + ( + ( + ( * v0 4 ) ( - ( + 4 0 ) 1 ) ) v1 ) ( - ( - 4 3 ) 1 ) ) 4 ) ) ) ( <= ( % ( + v2 v3 ) 4 ) ( % ( + v2 v3 ) 4 ) ) ) ( >= ( % ( + v2 v3 ) 4 ) ( % ( + v2 v3 ) 4 ) ) ) ( <= v4 v4 ) ) ( >= v4 v4 ) )
1760,( == ( + ( / ( + v0 v1 ) 32 ) ( * v2 4 ) ) ( + ( / ( + v0 v1 ) 32 ) ( * v2 4 ) ) )
1761,( == ( * ( / ( * ( / v0 2 ) -32 ) 16 ) 16 ) ( * ( / v0 2 ) -32 ) )
1762,( == ( + ( min ( / v0 8 ) 0 ) ( * ( / v1 4 ) 4 ) ) ( + ( min ( / v0 8 ) 0 ) ( * ( / v1 4 ) 4 ) ) )
1763,( == ( min ( / ( - ( + v0 v1 ) 1 ) 65 ) ( + ( + ( / v1 65 ) ( * v2 2 ) ) 1 ) ) ( min ( / ( - ( + v0 v1 ) 1 ) 65 ) ( + ( + ( / v1 65 ) ( * v2 2 ) ) 1 ) ) )
1764,( == ( min ( * v0 2 ) ( + ( max ( * ( min ( min ( + ( + ( max ( min ( * ( / ( + v1 v2 ) 125 ) 8 ) 125 ) 1 ) ( * ( / ( min ( - ( max ( min ( * ( / ( + ( + v1 v3 ) 124 ) 125 ) 8 ) 113 ) -11 ) ( max ( min ( * ( / ( + v1 v3 ) 125 ) 8 ) 125 ) 1 ) ) ( - ( * v4 4 ) 9 ) ) 2 ) 2 ) ) 10 ) v5 ) ( + ( max ( min ( * ( / ( + ( + v1 v2 ) 124 ) 125 ) 8 ) 113 ) -11 ) 9 ) ) 2 ) -5 ) 4 ) ) ( min ( * v0 2 ) ( + ( max ( * ( min ( min ( + ( + ( max ( min ( * ( / ( + v1 v2 ) 125 ) 8 ) 125 ) 1 ) ( * ( / ( min ( - ( max ( min ( * ( / ( + ( + v1 v3 ) 124 ) 125 ) 8 ) 113 ) -11 ) ( max ( min ( * ( / ( + v1 v3 ) 125 ) 8 ) 125 ) 1 ) ) ( - ( * v4 4 ) 9 ) ) 2 ) 2 ) ) 10 ) v5 ) ( + ( max ( min ( * ( / ( + ( + v1 v2 ) 124 ) 125 ) 8 ) 113 ) -11 ) 9 ) ) 2 ) -5 ) 4 ) ) )
1765,( == ( + ( * v0 8 ) ( * v1 1220 ) ) ( + ( * v0 8 ) ( * v1 1220 ) ) )
1766,( < ( - ( + v0 v1 ) 1 ) ( - ( + ( + v0 1 ) v1 ) 6 ) )
1767,( == ( - ( - ( / ( + ( + v0 v1 ) 31 ) 4 ) ( * v2 3 ) ) ( / v1 4 ) ) ( - ( - ( / ( + ( + v0 v1 ) 31 ) 4 ) ( * v2 3 ) ) ( / v1 4 ) ) )
1768,( != ( / ( + v0 518 ) 500 ) 0 )
1769,( == 0 ( - ( + 0 ( + ( * ( max ( * ( % v0 4 ) 63 ) 187 ) -2 ) 500 ) ) 1 ) )
1770,( == ( min ( max ( min ( / ( + ( + v0 v1 ) 1 ) 2 ) 999 ) 0 ) ( + v2 59 ) ) ( min ( max ( min ( / ( + ( + v0 v1 ) 1 ) 2 ) 999 ) 0 ) ( + v2 59 ) ) )
1771,( <= ( max ( + ( min ( min ( min ( min ( / ( - ( - ( + v6 v4 ) ( max ( min v5 2004 ) 5 ) ) 11 ) 16 ) ( / ( - ( - ( + v6 v4 ) ( max ( min v5 2004 ) 5 ) ) 11 ) 16 ) ) ( / ( + ( - ( min ( + ( max ( min v5 1872 ) -127 ) 113 ) ( + v6 v4 ) ) ( max ( min v5 2004 ) 5 ) ) 4 ) 16 ) ) ( / ( + ( - ( min ( + ( max ( min v5 1872 ) -127 ) 113 ) ( + v6 v4 ) ) ( max ( min v5 2004 ) 5 ) ) 4 ) 16 ) ) ( - ( + 0 ( / ( + v3 148 ) 16 ) ) 1 ) ) 1 ) ( min ( max ( / ( + ( - v4 ( max ( min v5 2004 ) 5 ) ) 20 ) 16 ) 0 ) ( + ( / ( + v3 148 ) 16 ) 0 ) ) ) ( min ( max ( / ( + ( - v4 ( max ( min v5 2004 ) 5 ) ) 20 ) 16 ) 0 ) ( + ( / ( + v3 148 ) 16 ) 0 ) ) )
1772,( == ( min ( - ( - ( / ( - ( + v0 v1 ) 1 ) 65 ) ( / v1 65 ) ) 3 ) v2 ) ( min ( - ( - ( / ( - ( + v0 v1 ) 1 ) 65 ) ( / v1 65 ) ) 3 ) v2 ) )
1773,( == ( + ( * v0 36 ) ( + ( / ( + v1 v2 ) 2 ) ( * v3 12 ) ) ) ( + ( * v0 36 ) ( + ( / ( + v1 v2 ) 2 ) ( * v3 12 ) ) ) )
1774,( == ( min ( - ( / ( + ( + v0 v1 ) 515 ) 32 ) ( * v2 2 ) ) ( + ( * ( min ( - ( - ( max ( min ( * ( min ( / ( + ( + v3 v4 ) 499 ) 500 ) 3 ) 8 ) 22 ) -7 ) ( * ( / v5 4 ) 12 ) ) ( max ( min ( * ( / v4 500 ) 8 ) 36 ) 5 ) ) -16 ) 2 ) 55 ) ) ( min ( - ( / ( + ( + v0 v1 ) 515 ) 32 ) ( * v2 2 ) ) ( + ( * ( min ( - ( - ( max ( min ( * ( min ( / ( + ( + v3 v4 ) 499 ) 500 ) 3 ) 8 ) 22 ) -7 ) ( * ( / v5 4 ) 12 ) ) ( max ( min ( * ( / v4 500 ) 8 ) 36 ) 5 ) ) -16 ) 2 ) 55 ) ) )
1775,( == ( * ( / ( * ( % v0 ( / ( + ( - v1 v2 ) 78 ) 18 ) ) -36 ) 4 ) 4 ) ( * ( % v0 ( / ( + ( - v1 v2 ) 78 ) 18 ) ) -36 ) )
1776,( >= ( / ( + ( - ( max v0 2000 ) ( min v1 0 ) ) 131 ) 132 ) 0 )
1777,( == ( min ( + v0 27 ) v1 ) ( min ( + v0 27 ) v1 ) )
1778,( != ( / ( + v0 128 ) 126 ) 0 )
1779,( == ( min ( / ( + ( + v0 v1 ) 124 ) 32 ) ( - ( + ( / ( + v0 v1 ) 32 ) ( * ( / ( + ( % ( + v0 v1 ) 32 ) 252 ) 128 ) 4 ) ) 1 ) ) ( min ( / ( + ( + v0 v1 ) 124 ) 32 ) ( - ( + ( / ( + v0 v1 ) 32 ) ( * ( / ( + ( % ( + v0 v1 ) 32 ) 252 ) 128 ) 4 ) ) 1 ) ) )
1780,( == ( / ( + ( * ( - ( / ( + ( + v0 v1 ) 124 ) 125 ) ( / v1 125 ) ) 16 ) 57 ) 36 ) ( / ( + ( * ( - ( / ( + ( + v0 v1 ) 124 ) 125 ) ( / v1 125 ) ) 16 ) 57 ) 36 ) )
1781,( == ( - ( / v0 4 ) ( * v1 16 ) ) ( - ( / v0 4 ) ( * v1 16 ) ) )
1782,( && ( && ( && ( && ( && ( && 1 ( <= ( - ( + ( + ( * 0 4 ) ( + ( * v0 1008 ) v1 ) ) 0 ) 8 ) ( - ( + ( * v0 1008 ) v1 ) 8 ) ) ) ( >= ( - ( + ( + ( * 0 4 ) ( + ( + ( * v0 1008 ) v1 ) 1004 ) ) 3 ) 8 ) ( - ( + ( + ( * v0 1008 ) v1 ) 1007 ) 8 ) ) ) ( <= ( - v2 5 ) ( - ( + 0 v2 ) 5 ) ) ) ( >= ( - v2 1 ) ( - ( + ( - ( + 5 0 ) 1 ) v2 ) 5 ) ) ) ( <= ( + ( * v3 83 ) v4 ) ( + ( * v3 83 ) v4 ) ) ) ( >= ( + ( * v3 83 ) v4 ) ( + ( * v3 83 ) v4 ) ) )
1783,( == ( * ( / ( * ( % v0 ( / ( + v1 4 ) 3 ) ) -24 ) 12 ) 12 ) ( * ( % v0 ( / ( + v1 4 ) 3 ) ) -24 ) )
1784,( == ( / ( + ( * ( - ( / ( + ( + v0 v1 ) 1999 ) 2000 ) ( / v1 2000 ) ) 256 ) 739 ) 208 ) ( / ( + ( * ( - ( / ( + ( + v0 v1 ) 1999 ) 2000 ) ( / v1 2000 ) ) 256 ) 739 ) 208 ) )
1785,( == ( min ( * v0 4 ) ( + v1 22 ) ) ( min ( * v0 4 ) ( + v1 22 ) ) )
1786,( == ( min ( + ( max ( min ( + v0 v1 ) 2000 ) 1 ) 6 ) v2 ) ( min ( + ( max ( min ( + v0 v1 ) 2000 ) 1 ) 6 ) v2 ) )
1787,( == ( min ( - v0 ( * ( / ( - ( max ( min v1 2002 ) 3 ) 3 ) 16 ) 16 ) ) ( + v2 251 ) ) ( min ( - v0 ( * ( / ( - ( max ( min v1 2002 ) 3 ) 3 ) 16 ) 16 ) ) ( + v2 251 ) ) )
