ID,Expression
1625,( == ( + ( * ( % v0 3 ) 96 ) ( + ( * v1 4 ) v2 ) ) ( + ( * ( % v0 3 ) 96 ) ( + ( * v1 4 ) v2 ) ) )
1626,( <= ( max 0 ( + ( min ( / ( + ( % ( + ( min ( * v0 63 ) 62 ) ( + ( min ( * v1 125 ) ( - v2 125 ) ) v3 ) ) 4 ) 54 ) 16 ) ( - ( + 0 5 ) 1 ) ) 1 ) ) 0 )
1627,( == ( * v0 4 ) ( - ( + ( * v0 4 ) ( + ( * ( min ( - v1 ( max ( min v2 509 ) 10 ) ) -11 ) 4 ) 48 ) ) 1 ) )
1628,( == ( - ( / ( - v0 1 ) 4 ) ( * v1 250 ) ) ( - ( / ( - v0 1 ) 4 ) ( * v1 250 ) ) )
1629,( == ( + ( max ( min ( * ( / v0 8 ) 2 ) 509 ) 10 ) ( * v1 12 ) ) ( + ( max ( min ( * ( / v0 8 ) 2 ) 509 ) 10 ) ( * v1 12 ) ) )
1630,( && ( && ( && ( && ( && ( && 1 ( <= ( + -2 v0 ) ( + -2 v0 ) ) ) ( >= ( + ( - ( - 11 2 ) 1 ) v0 ) ( + ( - ( - 11 2 ) 1 ) v0 ) ) ) ( <= v1 v1 ) ) ( >= v1 v1 ) ) ( <= ( + ( * 0 4 ) 0 ) 0 ) ) ( >= ( + ( * ( - ( + 12 0 ) 1 ) 4 ) 3 ) 47 ) )
1631,( == ( - ( / v0 4 ) ( * v1 2 ) ) ( - ( / v0 4 ) ( * v1 2 ) ) )
1632,( == ( min ( max ( max ( - ( + ( * v0 126 ) v1 ) 10 ) v2 ) 0 ) ( + ( + ( min v3 111 ) ( + ( * v0 126 ) v1 ) ) 8 ) ) ( min ( max ( max ( - ( + ( * v0 126 ) v1 ) 10 ) v2 ) 0 ) ( + ( + ( min v3 111 ) ( + ( * v0 126 ) v1 ) ) 8 ) ) )
1633,( == ( + ( min ( * ( / v0 4 ) 4 ) 1999 ) ( * v1 500 ) ) ( + ( min ( * ( / v0 4 ) 4 ) 1999 ) ( * v1 500 ) ) )
1634,( == ( min ( - 1000 ( * ( + ( * v0 63 ) v1 ) 4 ) ) ( - v2 ( * ( + ( * v3 250 ) ( + ( * v0 63 ) v1 ) ) 4 ) ) ) ( min ( - 1000 ( * ( + ( * v0 63 ) v1 ) 4 ) ) ( - v2 ( * ( + ( * v3 250 ) ( + ( * v0 63 ) v1 ) ) 4 ) ) ) )
1635,( == 0 ( - ( + 0 ( * v0 2 ) ) 1 ) )
1636,( == ( min ( + ( max ( min ( * v0 2 ) 497 ) -2 ) 1 ) v1 ) ( min ( + ( max ( min ( * v0 2 ) 497 ) -2 ) 1 ) v1 ) )
1637,( >= ( - ( + v0 v1 ) 8 ) ( - ( + ( - ( + v0 v1 ) 8 ) 140 ) 1 ) )
1638,( < ( + v0 2 ) ( - ( min ( max ( * ( / ( + ( min v1 8 ) v2 ) 4 ) 4 ) ( + ( + v0 1 ) 27 ) ) ( + ( + v0 1 ) 15 ) ) 25 ) )
1639,( != ( / ( + v0 124 ) 125 ) 0 )
1640,( == ( * ( / ( * ( % v0 ( / ( + v1 180 ) 168 ) ) -168 ) 4 ) 4 ) ( * ( % v0 ( / ( + v1 180 ) 168 ) ) -168 ) )
1641,( == ( min ( / ( + ( + v0 v1 ) 999 ) 4 ) ( + ( + ( min ( * ( + ( * v2 4 ) v3 ) 8 ) 54 ) ( + ( / ( + v0 v1 ) 4 ) ( * v4 125 ) ) ) 70 ) ) ( min ( / ( + ( + v0 v1 ) 999 ) 4 ) ( + ( + ( min ( * ( + ( * v2 4 ) v3 ) 8 ) 54 ) ( + ( / ( + v0 v1 ) 4 ) ( * v4 125 ) ) ) 70 ) ) )
1642,( == ( + ( min ( * v0 16 ) 57 ) ( + v1 v2 ) ) ( + ( min ( * v0 16 ) 57 ) ( + v1 v2 ) ) )
1643,( && ( && ( && ( && ( && ( && 1 ( <= v4 v4 ) ) ( >= ( + ( min ( + ( max ( min v5 1936 ) -63 ) 32 ) v4 ) 31 ) ( + ( min ( + ( max ( min v5 1936 ) -63 ) 32 ) v4 ) 31 ) ) ) ( <= ( + 0 ( max ( min v2 1999 ) 0 ) ) ( max ( min v2 1999 ) 0 ) ) ) ( >= ( + 3 ( + ( max ( min v2 1999 ) 0 ) ( * ( / ( - ( min ( * ( / ( + v3 3 ) 4 ) 4 ) ( - ( max ( min ( + v1 v2 ) 2000 ) 1 ) ( max ( min v2 1999 ) 0 ) ) ) 1 ) 4 ) 4 ) ) ) ( - ( min ( max ( min ( + v1 v2 ) 2000 ) 1 ) ( + ( min ( + ( max ( min v2 1999 ) 0 ) ( * ( / ( - v3 1 ) 4 ) 4 ) ) ( - ( max ( min ( + v1 v2 ) 2000 ) 1 ) 1 ) ) ( min ( - ( max ( min ( + v1 v2 ) 2000 ) 1 ) ( max ( min v2 1999 ) 0 ) ) 4 ) ) ) 1 ) ) ) ( <= v6 v6 ) ) ( >= v6 v6 ) )
1644,( == ( min ( - v0 ( * v1 500 ) ) ( + 500 3 ) ) ( min ( - v0 ( * v1 500 ) ) ( + 500 3 ) ) )
1645,( == ( + ( * v0 8 ) ( + ( / v1 4 ) ( * v2 64 ) ) ) ( + ( * v0 8 ) ( + ( / v1 4 ) ( * v2 64 ) ) ) )
1646,( <= ( max ( + ( min 1999 ( - ( + ( + ( * v1 8 ) v2 ) 8 ) 1 ) ) 1 ) ( min ( max 0 ( + ( * v1 8 ) v2 ) ) ( + 8 ( + ( * v1 8 ) v2 ) ) ) ) ( min ( max 0 ( + ( * v1 8 ) v2 ) ) ( + 8 ( + ( * v1 8 ) v2 ) ) ) )
1647,( == ( + ( * v0 4 ) ( + ( min ( + ( * v1 8 ) 3 ) v2 ) v3 ) ) ( + ( * v0 4 ) ( + ( min ( + ( * v1 8 ) 3 ) v2 ) v3 ) ) )
1648,( >= 0 ( - ( + 0 ( - 16 ( max ( * ( % v0 3 ) 6 ) 10 ) ) ) 1 ) )
1649,( == ( + ( min ( * v0 4 ) 22 ) ( + ( min ( * v1 8 ) 117 ) ( + v2 v3 ) ) ) ( + ( min ( * v0 4 ) 22 ) ( + ( min ( * v1 8 ) 117 ) ( + v2 v3 ) ) ) )
1650,( == ( - ( * v0 4 ) 17 ) ( - ( + ( - ( * v0 4 ) 17 ) ( + ( * ( min v1 60 ) 4 ) 24 ) ) 1 ) )
1651,( <= ( max ( + ( min ( min ( min ( + ( - ( / ( + v3 v4 ) 4 ) ( * v5 4 ) ) 4 ) ( + ( * ( - v2 v5 ) 4 ) 51 ) ) ( - ( / ( + ( min ( + ( * v2 16 ) 185 ) ( + v3 v4 ) ) 19 ) 4 ) ( * v5 4 ) ) ) ( - ( + 0 ( + ( * ( min ( - ( - ( max ( min ( * ( / ( - ( + v6 v7 ) 1 ) 125 ) 8 ) 113 ) -11 ) ( * v8 32 ) ) ( max ( min ( * ( / v7 125 ) 8 ) 125 ) 1 ) ) 19 ) 4 ) 52 ) ) 1 ) ) 1 ) ( min ( max ( + ( - ( / ( + v4 19 ) 4 ) ( * v5 4 ) ) 1 ) 0 ) ( + ( + ( * ( min ( - ( - ( max ( min ( * ( / ( - ( + v6 v7 ) 1 ) 125 ) 8 ) 113 ) -11 ) ( * v8 32 ) ) ( max ( min ( * ( / v7 125 ) 8 ) 125 ) 1 ) ) 19 ) 4 ) 52 ) 0 ) ) ) ( min ( max ( + ( - ( / ( + v4 19 ) 4 ) ( * v5 4 ) ) 1 ) 0 ) ( + ( + ( * ( min ( - ( - ( max ( min ( * ( / ( - ( + v6 v7 ) 1 ) 125 ) 8 ) 113 ) -11 ) ( * v8 32 ) ) ( max ( min ( * ( / v7 125 ) 8 ) 125 ) 1 ) ) 19 ) 4 ) 52 ) 0 ) ) )
1652,( == ( min ( max ( - ( max ( min v0 2009 ) 10 ) 10 ) v1 ) ( + ( + ( max ( min v0 2009 ) 10 ) v2 ) 8 ) ) ( min ( max ( - ( max ( min v0 2009 ) 10 ) 10 ) v1 ) ( + ( + ( max ( min v0 2009 ) 10 ) v2 ) 8 ) ) )
1653,( == ( + ( * ( / v0 4 ) 4 ) ( + ( * ( / ( + ( * ( min ( + ( * v1 -252 ) v2 ) 251 ) 4 ) 11 ) 253 ) 253 ) ( * v1 1008 ) ) ) ( + ( * ( / v0 4 ) 4 ) ( + ( * ( / ( + ( * ( min ( + ( * v1 -252 ) v2 ) 251 ) 4 ) 11 ) 253 ) 253 ) ( * v1 1008 ) ) ) )
1654,( == ( + ( * ( + ( * v0 2 ) v1 ) 4 ) ( + ( * v2 64 ) v3 ) ) ( + ( * ( + ( * v0 2 ) v1 ) 4 ) ( + ( * v2 64 ) v3 ) ) )
1655,( < ( + ( + ( * v0 8 ) v1 ) 8 ) ( - ( + ( * ( + v0 1 ) 8 ) v1 ) 5 ) )
1656,( <= ( max ( + ( min 1999 ( - ( + ( * v1 4 ) 1000 ) 1 ) ) 1 ) ( min ( max 0 ( * v1 4 ) ) ( + 1000 ( * v1 4 ) ) ) ) ( min ( max 0 ( * v1 4 ) ) ( + 1000 ( * v1 4 ) ) ) )
1657,( != ( / ( + v0 174 ) 169 ) 0 )
1658,( && ( && ( && ( && ( && ( && 1 ( <= ( - ( + ( + ( * 0 4 ) ( + ( / ( + ( min v0 500 ) v1 ) 4 ) ( * v2 4 ) ) ) 0 ) 125 ) ( - ( + 0 ( + ( / ( + ( min v0 500 ) v1 ) 4 ) ( * v2 4 ) ) ) 125 ) ) ) ( >= ( - ( + ( + ( * 0 4 ) ( + ( / ( + ( min v0 500 ) v1 ) 4 ) ( * v2 4 ) ) ) 3 ) 125 ) ( - ( + ( - ( + 4 0 ) 1 ) ( + ( / ( + ( min v0 500 ) v1 ) 4 ) ( * v2 4 ) ) ) 125 ) ) ) ( <= 0 0 ) ) ( >= 0 0 ) ) ( <= ( + ( * v3 2 ) 0 ) ( + ( * v3 2 ) 0 ) ) ) ( >= ( + ( * v3 2 ) ( - ( + 2 0 ) 1 ) ) ( + ( * v3 2 ) ( - ( + 2 0 ) 1 ) ) ) )
1659,( <= ( + ( max ( - ( max ( min ( + ( min ( * v0 8 ) 117 ) v1 ) 1989 ) -10 ) ( max ( min ( + ( * v0 8 ) v1 ) 1996 ) -3 ) ) ( + ( - ( max ( min v1 1989 ) -10 ) ( max ( min v1 2001 ) 2 ) ) 5 ) ) 8 ) 1024 )
1660,( && ( && ( && ( && ( && ( && 1 ( <= v0 v0 ) ) ( >= v0 v0 ) ) ( <= ( - ( + ( + ( * 0 4 ) v1 ) 0 ) 1 ) ( - ( + ( + ( * 0 4 ) 0 ) v1 ) 1 ) ) ) ( >= ( - ( + ( + ( * 4 4 ) v1 ) 3 ) 1 ) ( - ( + ( + ( * 4 4 ) ( - ( + 4 0 ) 1 ) ) v1 ) 1 ) ) ) ( <= v2 v2 ) ) ( >= v2 v2 ) )
1661,( <= ( max ( / ( + ( % v0 8 ) 31 ) 8 ) ( + ( - ( / ( + ( + ( min ( * v1 16 ) 47 ) v0 ) 23 ) 8 ) ( min ( / ( + ( min ( * v1 16 ) 47 ) v0 ) 8 ) ( + ( / ( + v0 15 ) 8 ) ( * v1 2 ) ) ) ) 1 ) ) 1024 )
1662,( == ( + ( * v0 125 ) ( * ( / v1 4 ) 4 ) ) ( + ( * v0 125 ) ( * ( / v1 4 ) 4 ) ) )
1663,( == ( - ( min ( - ( / ( - ( + v0 v1 ) 1 ) 4 ) ( * v2 46 ) ) ( + ( / v1 4 ) 45 ) ) ( + ( / v1 4 ) ( * v3 4 ) ) ) ( - ( min ( - ( / ( - ( + v0 v1 ) 1 ) 4 ) ( * v2 46 ) ) ( + ( / v1 4 ) 45 ) ) ( + ( / v1 4 ) ( * v3 4 ) ) ) )
1664,( == ( - v0 ( * ( / v1 250 ) 64 ) ) ( - v0 ( * ( / v1 250 ) 64 ) ) )
1665,( == ( / ( + v0 251 ) 252 ) ( / ( + v0 251 ) 252 ) )
1666,( <= ( + ( * ( + ( * v0 8 ) v1 ) 4 ) 1 ) ( - ( - ( * ( + ( * v0 8 ) ( - v1 1 ) ) 4 ) 5 ) 1 ) )
1667,( <= ( max ( + ( min ( min ( min 1999 1999 ) ( - ( min ( + v1 v2 ) 2000 ) 1 ) ) ( - ( + ( - ( + ( * v3 16 ) v4 ) 10 ) ( - 82 ( max ( * v3 16 ) 58 ) ) ) 1 ) ) 1 ) ( min ( max ( max ( max 0 0 ) ( max v2 0 ) ) ( - ( + ( * v3 16 ) v4 ) 10 ) ) ( + ( - 82 ( max ( * v3 16 ) 58 ) ) ( - ( + ( * v3 16 ) v4 ) 10 ) ) ) ) ( min ( max ( max ( max 0 0 ) ( max v2 0 ) ) ( - ( + ( * v3 16 ) v4 ) 10 ) ) ( + ( - 82 ( max ( * v3 16 ) 58 ) ) ( - ( + ( * v3 16 ) v4 ) 10 ) ) ) )
1668,( == ( - ( min ( - ( / ( - ( + v0 v1 ) 1 ) 4 ) ( * v2 252 ) ) ( + ( / v1 4 ) 251 ) ) ( + ( / v1 4 ) ( * v3 4 ) ) ) ( - ( min ( - ( / ( - ( + v0 v1 ) 1 ) 4 ) ( * v2 252 ) ) ( + ( / v1 4 ) 251 ) ) ( + ( / v1 4 ) ( * v3 4 ) ) ) )
1669,( && ( && ( && ( && ( && ( && 1 ( <= ( + ( + ( * ( + ( * v0 2 ) v1 ) 4 ) v2 ) 0 ) ( + ( * ( + ( * v0 2 ) v1 ) 4 ) v2 ) ) ) ( >= ( + ( + ( * ( + ( * v0 2 ) v1 ) 4 ) v2 ) 3 ) ( + ( + ( * ( + ( * v0 2 ) v1 ) 4 ) 3 ) v2 ) ) ) ( <= 0 0 ) ) ( >= 0 0 ) ) ( <= v3 v3 ) ) ( >= v3 v3 ) )
1670,( == ( + ( * v0 1000 ) ( + ( * v1 128 ) v2 ) ) ( + ( * v0 1000 ) ( + ( * v1 128 ) v2 ) ) )
1671,( == ( min ( * v0 4 ) ( - ( * v1 4 ) 7 ) ) ( min ( * v0 4 ) ( - ( * v1 4 ) 7 ) ) )
1672,( <= ( max ( + ( min ( min ( min ( - ( / ( - ( + v3 v4 ) ( max ( min ( + ( * v1 4 ) v2 ) 1999 ) 0 ) ) 4 ) 1 ) ( / ( - ( min ( max ( min ( + ( * v1 4 ) v2 ) 1996 ) -3 ) ( - ( + v3 v4 ) 1 ) ) ( max ( min ( + ( * v1 4 ) v2 ) 1999 ) 0 ) ) 4 ) ) ( / ( - ( max ( min ( + ( * v1 4 ) v2 ) 1996 ) -3 ) ( max ( min ( + ( * v1 4 ) v2 ) 1999 ) 0 ) ) 4 ) ) ( - ( + 0 ( / ( + v5 7 ) 4 ) ) 1 ) ) 1 ) ( min ( max ( / ( + ( - v4 ( max ( min ( + ( * v1 4 ) v2 ) 1999 ) 0 ) ) 3 ) 4 ) 0 ) ( + ( / ( + v5 7 ) 4 ) 0 ) ) ) ( min ( max ( / ( + ( - v4 ( max ( min ( + ( * v1 4 ) v2 ) 1999 ) 0 ) ) 3 ) 4 ) 0 ) ( + ( / ( + v5 7 ) 4 ) 0 ) ) )
1673,( && ( && ( && ( && ( && ( && 1 ( <= ( + ( + ( * ( + ( * v0 125 ) v1 ) 4 ) v2 ) 0 ) ( + ( * ( + ( * v0 125 ) v1 ) 4 ) v2 ) ) ) ( >= ( + ( + ( * ( + ( * v0 125 ) v1 ) 4 ) v2 ) 3 ) ( + ( + ( * ( + ( * v0 125 ) v1 ) 4 ) 3 ) v2 ) ) ) ( <= ( + v3 v4 ) ( + v3 v4 ) ) ) ( >= ( + v3 v4 ) ( + v3 v4 ) ) ) ( <= v5 v5 ) ) ( >= v5 v5 ) )
1674,( == ( - ( + ( max ( min ( / v0 16 ) 126 ) 2 ) ( * v1 2 ) ) ( + ( min ( - ( max ( min ( / ( + ( + v2 v0 ) 47 ) 16 ) 124 ) 0 ) ( * v3 64 ) ) ( + ( + ( max ( min ( / v0 16 ) 126 ) 2 ) ( * v4 4 ) ) 1 ) ) ( * v4 -4 ) ) ) ( - ( + ( max ( min ( / v0 16 ) 126 ) 2 ) ( * v1 2 ) ) ( + ( min ( - ( max ( min ( / ( + ( + v2 v0 ) 47 ) 16 ) 124 ) 0 ) ( * v3 64 ) ) ( + ( + ( max ( min ( / v0 16 ) 126 ) 2 ) ( * v4 4 ) ) 1 ) ) ( * v4 -4 ) ) ) )
1675,( == ( + ( * ( / ( - ( + v0 v1 ) 1 ) 250 ) 16 ) ( + ( / ( - 104 v2 ) 4 ) ( * v3 -2 ) ) ) ( + ( * ( / ( - ( + v0 v1 ) 1 ) 250 ) 16 ) ( + ( / ( - 104 v2 ) 4 ) ( * v3 -2 ) ) ) )
1676,( <= ( max ( + ( min ( min 2 ( - ( min ( + v1 v2 ) 3 ) 1 ) ) ( - ( + v4 v3 ) 1 ) ) 1 ) ( min ( max ( max 0 ( max v2 0 ) ) v4 ) ( + v3 v4 ) ) ) ( min ( max ( max 0 ( max v2 0 ) ) v4 ) ( + v3 v4 ) ) )
1677,( == ( min ( - 32 ( + ( * v0 3 ) ( * v1 11 ) ) ) ( - 10 ( * v0 3 ) ) ) ( min ( - 32 ( + ( * v0 3 ) ( * v1 11 ) ) ) ( - 10 ( * v0 3 ) ) ) )
1678,( <= ( max ( + ( min ( min ( min ( + ( - v4 v5 ) 79 ) ( + ( - ( / ( min ( + ( * v4 4 ) 303 ) ( + v2 v3 ) ) 4 ) v5 ) 4 ) ) ( - ( / ( + ( + v2 v3 ) 13 ) 4 ) v5 ) ) ( - ( + 0 ( + ( min ( * ( - ( - v6 ( * v7 10 ) ) ( * ( / v8 8 ) 8 ) ) 8 ) -49 ) 130 ) ) 1 ) ) 1 ) ( min ( max ( + ( - ( / v3 4 ) v5 ) 5 ) 0 ) ( + ( + ( min ( * ( - ( - v6 ( * v7 10 ) ) ( * ( / v8 8 ) 8 ) ) 8 ) -49 ) 130 ) 0 ) ) ) ( min ( max ( + ( - ( / v3 4 ) v5 ) 5 ) 0 ) ( + ( + ( min ( * ( - ( - v6 ( * v7 10 ) ) ( * ( / v8 8 ) 8 ) ) 8 ) -49 ) 130 ) 0 ) ) )
1679,( == ( + ( min v0 1999 ) ( * v1 1000 ) ) ( + ( min v0 1999 ) ( * v1 1000 ) ) )
1680,( >= 0 ( - ( + 0 ( + ( + ( / ( - 0 ( max ( - ( * ( max ( min ( * v0 2 ) 509 ) 10 ) 4 ) v1 ) ( + ( * v2 4 ) 52 ) ) ) 4 ) v2 ) 14 ) ) 1 ) )
1681,( == ( + ( + ( * v0 252 ) v1 ) ( + ( * v2 126 ) v3 ) ) ( + ( + ( * v0 252 ) v1 ) ( + ( * v2 126 ) v3 ) ) )
1682,( == ( min ( max ( max ( * v0 4 ) v1 ) ( + v2 v1 ) ) ( + ( * ( + ( min v3 31 ) v0 ) 4 ) 4 ) ) ( min ( max ( max ( * v0 4 ) v1 ) ( + v2 v1 ) ) ( + ( * ( + ( min v3 31 ) v0 ) 4 ) 4 ) ) )
1683,( == ( min ( / ( - ( + v0 v1 ) 1 ) 4 ) ( + ( + ( * v2 250 ) v3 ) 124 ) ) ( min ( / ( - ( + v0 v1 ) 1 ) 4 ) ( + ( + ( * v2 250 ) v3 ) 124 ) ) )
1684,( == ( min ( + ( + ( min ( * v0 16 ) 484 ) ( + v1 v2 ) ) 19 ) v3 ) ( min ( + ( + ( min ( * v0 16 ) 484 ) ( + v1 v2 ) ) 19 ) v3 ) )
1685,( && ( && ( && ( && ( && ( && 1 ( <= ( + ( + ( - v0 5 ) 0 ) 3 ) ( + ( + v0 0 ) ( max -5 -2 ) ) ) ) ( >= ( + ( + ( + v0 3 ) 3 ) 3 ) ( + ( + v0 ( - ( + 4 0 ) 1 ) ) 3 ) ) ) ( <= ( + ( + ( * v1 8 ) v2 ) 64 ) ( + v2 ( + ( * v1 8 ) 1 ) ) ) ) ( >= ( + ( + ( * v1 8 ) v2 ) 64 ) ( + v2 ( - ( + 64 ( + ( * v1 8 ) 1 ) ) 1 ) ) ) ) ( <= ( * v3 32 ) ( + ( * v3 32 ) 0 ) ) ) ( >= ( + ( * v3 32 ) 31 ) ( + ( * v3 32 ) ( - ( + 32 0 ) 1 ) ) ) )
1686,( == ( min ( / ( - ( + v0 v1 ) 1 ) 4 ) ( + v2 249 ) ) ( min ( / ( - ( + v0 v1 ) 1 ) 4 ) ( + v2 249 ) ) )
1687,( == ( min ( + ( min ( + ( + ( min ( * v0 32 ) 94 ) ( + ( * v1 126 ) v2 ) ) 22 ) ( + v3 v2 ) ) 7 ) v4 ) ( min ( + ( min ( + ( + ( min ( * v0 32 ) 94 ) ( + ( * v1 126 ) v2 ) ) 22 ) ( + v3 v2 ) ) 7 ) v4 ) )
1688,( == ( * ( / ( * v0 -32 ) 4 ) 4 ) ( * v0 -32 ) )
1689,( == ( min ( + ( * ( - ( / ( - ( + v0 v1 ) 1 ) 250 ) ( / v1 250 ) ) 16 ) 15 ) v2 ) ( min ( + ( * ( - ( / ( - ( + v0 v1 ) 1 ) 250 ) ( / v1 250 ) ) 16 ) 15 ) v2 ) )
1690,( == ( + ( * ( % v0 5 ) 28 ) ( + ( * v1 4 ) v2 ) ) ( + ( * ( % v0 5 ) 28 ) ( + ( * v1 4 ) v2 ) ) )
1691,( == ( min ( + ( max ( - ( / v0 4 ) ( / v1 4 ) ) -5 ) 5 ) v2 ) ( min ( + ( max ( - ( / v0 4 ) ( / v1 4 ) ) -5 ) 5 ) v2 ) )
1692,( == ( min ( + ( + ( / v0 8 ) ( + ( * v1 20 ) ( + ( * v2 32 ) ( * v3 3 ) ) ) ) 17 ) ( + ( min ( / ( + v0 507 ) 8 ) ( + ( min ( + ( / v0 8 ) ( * v2 32 ) ) v4 ) 31 ) ) ( * v3 3 ) ) ) ( min ( + ( + ( / v0 8 ) ( + ( * v1 20 ) ( + ( * v2 32 ) ( * v3 3 ) ) ) ) 17 ) ( + ( min ( / ( + v0 507 ) 8 ) ( + ( min ( + ( / v0 8 ) ( * v2 32 ) ) v4 ) 31 ) ) ( * v3 3 ) ) ) )
1693,( == ( max ( min ( max ( * ( + v0 v1 ) 8 ) ( + ( / v2 4 ) 69 ) ) ( + ( * ( + v0 v1 ) 8 ) 9 ) ) ( + ( min ( / ( - ( + v3 v2 ) 2 ) 4 ) ( - ( * ( + v0 v1 ) 8 ) 59 ) ) 68 ) ) ( max ( min ( max ( * ( + v0 v1 ) 8 ) ( + ( / v2 4 ) 69 ) ) ( + ( * ( + v0 v1 ) 8 ) 9 ) ) ( + ( min ( / ( - ( + v3 v2 ) 2 ) 4 ) ( - ( * ( + v0 v1 ) 8 ) 59 ) ) 68 ) ) )
1694,( == ( min ( min ( max ( min ( / ( + ( + v0 v1 ) 47 ) 16 ) 124 ) 0 ) ( + ( max ( min ( / v1 16 ) 126 ) 2 ) 61 ) ) ( + ( + ( * v2 8 ) ( + ( max ( min ( / v1 16 ) 126 ) 2 ) ( * v3 32 ) ) ) 5 ) ) ( min ( min ( max ( min ( / ( + ( + v0 v1 ) 47 ) 16 ) 124 ) 0 ) ( + ( max ( min ( / v1 16 ) 126 ) 2 ) 61 ) ) ( + ( + ( * v2 8 ) ( + ( max ( min ( / v1 16 ) 126 ) 2 ) ( * v3 32 ) ) ) 5 ) ) )
1695,( <= ( max ( + ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min 0 0 ) 0 ) 0 ) ( / ( - 1748 v4 ) 252 ) ) ( / ( - 1748 v4 ) 252 ) ) ( / ( - 1999 v4 ) 252 ) ) ( min ( / ( - ( - ( min ( + v2 v3 ) 2000 ) v4 ) 1 ) 252 ) 0 ) ) ( min ( / ( - ( - ( min ( + v2 v3 ) 2000 ) v4 ) 1 ) 252 ) 0 ) ) ( min ( / ( - 1999 v4 ) 252 ) 0 ) ) ( - ( + 0 2 ) 1 ) ) 1 ) ( min ( max ( max ( max ( max ( - 0 ( / v4 252 ) ) ( - 0 ( / v4 252 ) ) ) ( max ( / ( + ( - v3 v4 ) 251 ) 252 ) ( - 0 ( / v4 252 ) ) ) ) ( max ( / ( + ( - v3 v4 ) 251 ) 252 ) ( - 0 ( / v4 252 ) ) ) ) 0 ) ( + 2 0 ) ) ) ( min ( max ( max ( max ( max ( - 0 ( / v4 252 ) ) ( - 0 ( / v4 252 ) ) ) ( max ( / ( + ( - v3 v4 ) 251 ) 252 ) ( - 0 ( / v4 252 ) ) ) ) ( max ( / ( + ( - v3 v4 ) 251 ) 252 ) ( - 0 ( / v4 252 ) ) ) ) 0 ) ( + 2 0 ) ) )
1696,( == ( * ( / ( * v0 0 ) 9 ) 9 ) ( * v0 0 ) )
1697,( == ( - ( / ( - ( + v0 v1 ) 1 ) 4 ) ( + ( / v1 4 ) v2 ) ) ( - ( / ( - ( + v0 v1 ) 1 ) 4 ) ( + ( / v1 4 ) v2 ) ) )
1698,( < ( + ( * v0 4 ) 3 ) ( - ( min ( * ( max ( * ( + v0 1 ) 2 ) ( + ( * ( max ( min ( * ( + ( * v1 8 ) v2 ) 2 ) 499 ) 0 ) 2 ) 1 ) ) 2 ) ( + ( * ( + v0 1 ) 4 ) 2 ) ) 6 ) )
1699,( == ( - ( * v0 4 ) 44 ) ( - ( + ( - ( * v0 4 ) 44 ) ( + ( * ( min ( - ( - ( max ( min ( * ( / ( + ( + v1 v2 ) 7 ) 8 ) 2 ) 497 ) -2 ) ( * v3 32 ) ) ( max ( min ( * ( / v2 8 ) 2 ) 509 ) 10 ) ) 19 ) 4 ) 56 ) ) 1 ) )
1700,( == ( * ( / ( * ( max ( * v0 12 ) 20 ) -1 ) 4 ) 4 ) ( * ( max ( * v0 12 ) 20 ) -1 ) )
1701,( == ( + ( / ( + v0 v1 ) 8 ) ( * v2 8 ) ) ( + ( / ( + v0 v1 ) 8 ) ( * v2 8 ) ) )
1702,( == ( max ( * v0 2 ) ( + ( * ( max ( min ( * ( + ( * v1 8 ) v2 ) 2 ) 499 ) 0 ) 2 ) 1 ) ) ( max ( * v0 2 ) ( + ( * ( max ( min ( * ( + ( * v1 8 ) v2 ) 2 ) 499 ) 0 ) 2 ) 1 ) ) )
1703,( == ( min ( + ( + ( * v0 128 ) ( + ( min ( - ( - ( + ( * v1 -1000 ) ( + v2 v3 ) ) ( * v0 128 ) ) v3 ) 4 ) ( * ( / ( - ( min ( - v2 ( * v0 128 ) ) ( + ( * v1 1000 ) 128 ) ) 1 ) 4 ) 4 ) ) ) v3 ) v4 ) ( min ( + ( + ( * v0 128 ) ( + ( min ( - ( - ( + ( * v1 -1000 ) ( + v2 v3 ) ) ( * v0 128 ) ) v3 ) 4 ) ( * ( / ( - ( min ( - v2 ( * v0 128 ) ) ( + ( * v1 1000 ) 128 ) ) 1 ) 4 ) 4 ) ) ) v3 ) v4 ) )
1704,( < ( + ( + ( + ( min ( * v0 14 ) 53 ) v1 ) v2 ) 5 ) ( - ( + ( + ( min ( * v0 14 ) 53 ) ( + v1 1 ) ) v2 ) 4 ) )
1705,( == ( - ( + v0 16 ) ( + ( * v1 4 ) v0 ) ) ( - ( + v0 16 ) ( + ( * v1 4 ) v0 ) ) )
1706,( == ( + ( * ( / ( + ( min ( + ( * v0 -504 ) v1 ) 494 ) 14 ) 128 ) 128 ) ( * v0 504 ) ) ( + ( * ( / ( + ( min ( + ( * v0 -504 ) v1 ) 494 ) 14 ) 128 ) 128 ) ( * v0 504 ) ) )
